comeback,raw_text,cleaned_text,label,source
aespa_Whiplash,one look givem whiplash,one look givem whiplash,?,youtube
aespa_Whiplash,best girl groupppp,best girl groupppp,?,youtube
aespa_Whiplash,52.486.289 görüntüleme,grntleme,?,youtube
aespa_Whiplash,Can't touch that,cant touch,?,youtube
aespa_Whiplash,*gets sued by Metallica*,get su metallica,?,youtube
aespa_Whiplash,Can you focus MYs?,focu my,?,youtube
aespa_Whiplash,fancy!,fanci,?,youtube
aespa_Whiplash,I can't get tired of this song,cant get tire song,?,youtube
aespa_Whiplash,thank you women for existing i love you,thank women exist love,?,youtube
aespa_Whiplash,Hwaiting MYs,hwait my,?,youtube
aespa_Whiplash,"I love this era, but the song and the dance are giving me PSY vibes😂 and i can’t unsee it!!! i hope they’re doing doing the challenge with PSY!!!!  It will be dope for sure!!",love era song danc give psi vibe cant unse hope theyr challeng psi dope sure,?,youtube
aespa_Whiplash,📣,,?,youtube
aespa_Whiplash,Lets go to 60M,let go,?,youtube
aespa_Whiplash,Go go 53m,go go,?,youtube
aespa_Whiplash,Whi-whiplash,whiwhiplash,?,youtube
aespa_Whiplash,This comeback is giselle era❤,comeback gisel era,?,youtube
aespa_Whiplash,I love the vibe it's giving off smuch they ate that 🫶😭,love vibe give smuch ate,?,youtube
aespa_Whiplash,Goodmoning everyone 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,goodmon everyon,?,youtube
aespa_Whiplash,favorit the song,favorit song,?,youtube
aespa_Whiplash,"me with aespa this year: *releasing supernova* 
Me: song of the year!!!!!

*releasing armageddon*
Me: no, wait this should be the song of the year!

*releasing hot mess*
Me: *sigh* what’s next!??

*releasing whiplash*
Me: HEAR ME OUT THIS IS THE SONG OF THE YEAR",aespa year releas supernova song year releas armageddon wait song year releas hot mess sigh what next releas whiplash hear song year,?,youtube
aespa_Whiplash,wow，they are so beautiful and cool！,wowthey beauti cool,?,youtube
aespa_Whiplash,SM tolong rilis lagu wake up ningning dong,sm tolong rili lagu wake ningn dong,?,youtube
aespa_Whiplash,Winter is a human AI no doubt,winter human ai doubt,?,youtube
aespa_Whiplash,AESPA😘😘😘😘😘😘,aespa,?,youtube
aespa_Whiplash,1:59 WINTER???!!!!😳😳😳,winter,?,youtube
aespa_Whiplash,🥰😍,,?,youtube
aespa_Whiplash,WHIPLASH,whiplash,?,youtube
aespa_Whiplash,WHIP WHIPLASH,whip whiplash,?,youtube
aespa_Whiplash,ONE LOOK GIVE EM WHIPLASH,one look give em whiplash,?,youtube
aespa_Whiplash,HAPPY 52M WHIPLASH,happi whiplash,?,youtube
aespa_Whiplash,1.3M LIKES WHIPLASH,like whiplash,?,youtube
aespa_Whiplash,52M 387K WHIPLASH,k whiplash,?,youtube
aespa_Whiplash,Perfect song yeah yeah yeah,perfect song yeah yeah yeah,?,youtube
aespa_Whiplash,"Next Level 305M
Drama 250M
Armageddon 105M
Whiplash 55M
gogogo🎉🎉",next level drama armageddon whiplash gogogo,?,youtube
aespa_Whiplash,This is awesome.  Best AESPA.,awesom best aespa,?,youtube
aespa_Whiplash,ALWAYS KERENNNN,alway kerennnn,?,youtube
aespa_Whiplash,perfect song mv vocal and visual.all perfect,perfect song mv vocal visualal perfect,?,youtube
aespa_Whiplash,keep streaming mys,keep stream my,?,youtube
aespa_Whiplash,This is definitely giselle’s era she slayed with her pink hair,definit gisel era slay pink hair,?,youtube
aespa_Whiplash,"Mys, str34ming",my strming,?,youtube
aespa_Whiplash,376k,k,?,youtube
aespa_Whiplash,Canduuu bgt 🔥🔥🔥,canduuu bgt,?,youtube
aespa_Whiplash,"#æspa in History Longest Charts:
#1 MelOn Supernova         99 days
#1 Genie                                   119
#1 Bugs                                     49
#1 VIBE                                     118
#1 Circle                                   11 weeks
#1 YouTube Next Level     12 weeks.",spa histori longest chart melon supernova day geni bug vibe circl week youtub next level week,?,youtube
aespa_Whiplash,53M today mys come on,today my come,?,youtube
aespa_Whiplash,"What is your Aespa bias?
Me: Ningning",aespa bia ningn,?,youtube
aespa_Whiplash,".mySTREAM aespa AUDIO:
Black Mamba 150M Next Level 225 Savage135
Dreams Come True 75 Girls 85 Illusion 150
Hold On Tight 55 Spicy 145 Drama 135
Supernova 95 Armageddon 55 Whiplash 25",mystream aespa audio black mamba next level savag dream come true girl illus hold tight spici drama supernova armageddon whiplash,?,youtube
aespa_Whiplash,Aespaaaa music on topp,aespaaaa music topp,?,youtube
aespa_Whiplash,1:23 giselle's revenge after what ningning did to her apartment.,gisel reveng ningn apart,?,youtube
aespa_Whiplash,W song 🙏,w song,?,youtube
aespa_Whiplash,2:14 Girls' Generation 소녀시대 'Catch Me If You Can'🥲🥲,girl gener catch,?,youtube
aespa_Whiplash,SLAYNINGGGG,slayningggg,?,youtube
aespa_Whiplash,❤❤j'aimé❤❤,jaim,?,youtube
aespa_Whiplash,Le top des musiques,le top de musiqu,?,youtube
aespa_Whiplash,52.357M,,?,youtube
aespa_Whiplash,"aespa 'Whiplash'

01. Whiplash (Title)
02. KI
03. Flights, Not Feelings
04. Pink Hoodie
05. Flowers
06. Just Another Girl.",aespa whiplash whiplash titl ki flight feel pink hoodi flower anoth girl,?,youtube
aespa_Whiplash,love it,love,?,youtube
aespa_Whiplash,2025 anyone,anyon,?,youtube
aespa_Whiplash,top music video,top music video,?,youtube
aespa_Whiplash,1:59,,?,youtube
aespa_Whiplash,I am Blink and I love this song.,blink love song,?,youtube
aespa_Whiplash,❤,,?,youtube
aespa_Whiplash,Don't forget keep stream1ng on sp0tify too for global fans ‼️❤️‍🔥🔥,dont forget keep streamng sptifi global fan,?,youtube
aespa_Whiplash,Like,like,?,youtube
aespa_Whiplash,Flopp,flopp,?,youtube
aespa_Whiplash,Aespa owned this year !!!,aespa own year,?,youtube
aespa_Whiplash,#kurdishnctzen,kurdishnctzen,?,youtube
aespa_Whiplash,#kurdishexol,kurdishexol,?,youtube
aespa_Whiplash,#kurdishmy,kurdishmi,?,youtube
aespa_Whiplash,Fancy !!,fanci,?,youtube
aespa_Whiplash,#8 global top music video ❤,global top music video,?,youtube
aespa_Whiplash,aespa so amazing,aespa amaz,?,youtube
aespa_Whiplash,Keep str3aming mys,keep strame my,?,youtube
aespa_Whiplash,High fashion mv,high fashion mv,?,youtube
aespa_Whiplash,Manifesting 3rd win 🙏🙏,manifest rd win,?,youtube
aespa_Whiplash,Mother Giselle please adopt me,mother gisel pleas adopt,?,youtube
aespa_Whiplash,1,,?,youtube
aespa_Whiplash,"52.312

Sunday gone like wushhhh",sunday gone like wushhhh,?,youtube
aespa_Whiplash,whip-whiplash,whipwhiplash,?,youtube
aespa_Whiplash,GISELLE AND NINGNING RAP SKILLS OMG,gisel ningn rap skill omg,?,youtube
aespa_Whiplash,ateeeeeee,ateeeeee,?,youtube
aespa_Whiplash,Çok kötü,ok kt,?,youtube
aespa_Whiplash,Ogggg,ogggg,?,youtube
aespa_Whiplash,🤢🤢,,?,youtube
aespa_Whiplash,🤢🤢🤢🤢🤢🤢🤢,,?,youtube
aespa_Whiplash,İgyenc,igyenc,?,youtube
aespa_Whiplash,Str34ming mys,strming my,?,youtube
aespa_Whiplash,Col çok kötü,col ok kt,?,youtube
aespa_Whiplash,İyyyy,iyyyi,?,youtube
aespa_Whiplash,CAPCUT YAZISINI SİLMEMİS SM İYYYY,capcut yazisini silmemi sm iyyyi,?,youtube
aespa_Whiplash,YEGE SEMEYİ TEKLEDİ(!),yege semeyi tekledi,?,youtube
aespa_Whiplash,CAPCUT YAZİSİNİ SİLMEMİSLER AQ,capcut yazisini silmemisl aq,?,youtube
aespa_Whiplash,Aespa!!!!,aespa,?,youtube
aespa_Whiplash,SALAK,salak,?,youtube
aespa_Whiplash,SM MAL,sm mal,?,youtube
aespa_Whiplash,YESİL EKRANCİLAR,yesil ekrancilar,?,youtube
aespa_Whiplash,COK KİRİNC ŞARKI BOK GİBİ,cok kirinc arki bok gibi,?,youtube
aespa_Whiplash,WİNTER DİSLANİO😢,winter dislanio,?,youtube
aespa_Whiplash,KLİP ÇOK KÖTÜ İYRENC OLMUS SARKİ,klip ok kt iyrenc olmu sarki,?,youtube
aespa_Whiplash,TİRNAGİM OLAMAZLAR(!),tirnagim olamazlar,?,youtube
aespa_Whiplash,İYYYY ÇOK KÖTÜ ŞARKI,iyyyi ok kt arki,?,youtube
aespa_Whiplash,BP BEST GG(!),bp best gg,?,youtube
aespa_Whiplash,OSSURAN WİNTER BESTTT👊,ossuran winter besttt,?,youtube
aespa_Whiplash,#trend1 #trend1 #trend1 #trend1 #trend1 #trend1,trend trend trend trend trend trend,?,youtube
aespa_Whiplash,Awesome,awesom,?,youtube
aespa_Whiplash,OK THAT RRRRRRROCKS,ok rrrrrrrock,?,youtube
aespa_Whiplash,Gisella cakep bener rambut pink😍,gisella cakep bener rambut pink,?,youtube
aespa_Whiplash,winter!!!!!!!!!!!! me va dar algoooooooooo <3,winter va dar algoooooooooo,?,youtube
aespa_Whiplash,DYVAS,dyva,?,youtube
aespa_Whiplash,Best girls,best girl,?,youtube
aespa_Whiplash,vamos por 60M! MY's let's do this!,vamo por my let,?,youtube
aespa_Whiplash,This sounds like a diss track to HYBE 😂,sound like diss track hybe,?,youtube
aespa_Whiplash,IM DEOBI IM FROM WHIPLASH CHALLENGE GISELLE WITH SUNWOO <3,im deobi im whiplash challeng gisel sunwoo,?,youtube
aespa_Whiplash,Aespa group of the year,aespa group year,?,youtube
aespa_Whiplash,Let's go mys we need to continue!,let go my need continu,?,youtube
aespa_Whiplash,"Pleaseeeee vot3 x aespa #whiplash Let's get more wins for aespa, they worked hard",pleaseeee vot x aespa whiplash let get win aespa work hard,?,youtube
aespa_Whiplash,Pink hairs slayyyyyysss ❤,pink hair slayyyyyysss,?,youtube
aespa_Whiplash,Happy 52.2m,happi,?,youtube
aespa_Whiplash,Omg the beat is insane from the start to the end!!!💝,omg beat insan start end,?,youtube
aespa_Whiplash,KEEP STREAMING MY'S,keep stream my,?,youtube
aespa_Whiplash,60 MILLION VIEWS SOON,million view soon,?,youtube
aespa_Whiplash,I can't get tired of this song,cant get tire song,?,youtube
aespa_Whiplash,SLAAAAYY⚡️⚡️,slaaaayi,?,youtube
aespa_Whiplash,Saquen perfo,saquen perfo,?,youtube
aespa_Whiplash,2:30 on repeat‼️ Hot Giselle on top 😻👄,repeat hot gisel top,?,youtube
aespa_Whiplash,A esta no le vamos a hacer strim al dancepractice?,esta le vamo hacer strim al dancepractic,?,youtube
aespa_Whiplash,Fasil pudo ser cualquiera de asepa,fasil pudo ser cualquiera de asepa,?,youtube
aespa_Whiplash,Ya la quemadte?,ya la quemadt,?,youtube
aespa_Whiplash,First reaction,first reaction,?,youtube
aespa_Whiplash,El zara se pierde tremendo diyei,el zara se pierd tremendo diyei,?,youtube
aespa_Whiplash,ONE LOOK GIVE EM WHIPLASH,one look give em whiplash,?,youtube
aespa_Whiplash,"Visual 100/100
vocal 100/100
Dance 100/100
singing 100/100
And rap 100/100
I LOVE THEEMMM",visual vocal danc sing rap love theemmm,?,youtube
aespa_Whiplash,Wow,wow,?,youtube
aespa_Whiplash,Wowwww.....,wo,?,youtube
aespa_Whiplash,This song is on fire 🔥🔥🔥 aespa ❤️❤️❤️,song fire aespa,?,youtube
aespa_Whiplash,winter feels like she dropped from final fantasy universe. aftet hanging out with noctis or waht,winter feel like drop final fantasi univers aftet hang nocti waht,?,youtube
aespa_Whiplash,52M done on 3/11/2024 🎉🎉,done,?,youtube
aespa_Whiplash,So amazing,amaz,?,youtube
aespa_Whiplash,yooo,yooo,?,youtube
aespa_Whiplash,Happy 60k cmts,happi k cmt,?,youtube
aespa_Whiplash,WHIPLASH,whiplash,?,youtube
aespa_Whiplash,WHIP WHIPLASH,whip whiplash,?,youtube
aespa_Whiplash,I'M THE COLDEST,im coldest,?,youtube
aespa_Whiplash,ONE LOOK GIVE EM WHIPLASH,one look give em whiplash,?,youtube
aespa_Whiplash,HAPPY 52M WHIPLASH,happi whiplash,?,youtube
aespa_Whiplash,1.3M LIKES WHIPLASH,like whiplash,?,youtube
aespa_Whiplash,Slay❤❤,slay,?,youtube
aespa_Whiplash,52M 95K WHIPLASH,k whiplash,?,youtube
aespa_Whiplash,Drama almost 300M on spotify!! Let's go mys,drama almost spotifi let go my,?,youtube
aespa_Whiplash,Happy 52.09M (1.10 pm kst),happi pm kst,?,youtube
aespa_Whiplash,Ningning's singing like an angel.❤,ningn sing like angel,?,youtube
aespa_Whiplash,"MYS !!! NEXT LEVEL = 300M, SUPERNOVA = 200M, ARMAGEDDON = 100M, WHIPLASH = 100M, BLACK MAMBA = 300M, SPICY = 200M",my next level supernova armageddon whiplash black mamba spici,?,youtube
aespa_Whiplash,Karina❤❤❤,karina,?,youtube
aespa_Whiplash,ya vnfo,ya vnfo,?,youtube
aespa_Whiplash,"Faitin mys este, vamo a hold on de mongmong",faitin my est vamo hold de mongmong,?,youtube
aespa_Whiplash,Lavo la como se llama licuadora y termino 😊,lavo la como se llama licuadora termino,?,youtube
aespa_Whiplash,Unforgettable,unforgett,?,youtube
aespa_Whiplash,This is a song that would definitely play at a catwalk,song would definit play catwalk,?,youtube
aespa_Whiplash,One look give'em whiplash,one look giveem whiplash,?,youtube
aespa_Whiplash,Happy 52M mys. Road to 53M soon,happi my road soon,?,youtube
aespa_Whiplash,whip whiplash one look give'em whiplash,whip whiplash one look giveem whiplash,?,youtube
aespa_Whiplash,Happy 52.04M (12.10 pm kst),happi pm kst,?,youtube
aespa_Whiplash,53m go go,go go,?,youtube
aespa_Whiplash,"52,1m views lets go",view let go,?,youtube
aespa_Whiplash,52,,?,youtube
aespa_Whiplash,STRMNG DI SPOTIFY!!!,strmng di spotifi,?,youtube
aespa_Whiplash,and if this song becomes my top 1 on spotify wrapped lmaooo I'm obsessed,song becom top spotifi wrap lmaooo im obsess,?,youtube
aespa_Whiplash,I can't wait for Godspa to sweep all the awards this year,cant wait godspa sweep award year,?,youtube
aespa_Whiplash,ALL OF THEM ARE SO ICONIC HERE😩💥 BUT GISELLE REALLY CATCH MY ATTENTION 🌷✨,icon gisel realli catch attent,?,youtube
aespa_Whiplash,GD oppa!!!!!!!,gd oppa,?,youtube
aespa_Whiplash,Str3am harder on Spotify and Apple Music .Whiplash is such a banger,stram harder spotifi appl music whiplash banger,?,youtube
aespa_Whiplash,aespa's Whiplash ranked 2nd Place on Spotify Global Weekly Chart with 15.3M str3ams.,aespa whiplash rank nd place spotifi global weekli chart stram,?,youtube
aespa_Whiplash,Godspa always give us Hit after Hit,godspa alway give us hit hit,?,youtube
aespa_Whiplash,Godspa always give us Banger after Banger,godspa alway give us banger banger,?,youtube
aespa_Whiplash,Karina I love You,karina love,?,youtube
aespa_Whiplash,"Happy 52M MYs
let's push to 55M faster",happi my let push faster,?,youtube
aespa_Whiplash,❤❤❤,,?,youtube
aespa_Whiplash,I love the iconic fall it will go down to history,love icon fall go histori,?,youtube
aespa_Whiplash,I'm new to aespa. Can someone tell me who is who? I just know Karina.,im new aespa someon tell know karina,?,youtube
aespa_Whiplash,"EU AMEI!!!! TÁ MUITO PERFEITO, QUE ORGULHO DE VOCÊS",eu amei muito perfeito que orgulho de voc,?,youtube
aespa_Whiplash,59955 comments,comment,?,youtube
aespa_Whiplash,mys keep streaming,my keep stream,?,youtube
aespa_Whiplash,Happy 52 million🎉,happi million,?,youtube
aespa_Whiplash,60k comments gogo,k comment gogo,?,youtube
aespa_Whiplash,"HAPPY 52 M !!!!!!🎉🎉🎉🎉
LET'S GO 60 M !!!!!!!
GO GO WIPLASH !!!!!!!!!!!!!",happi let go go go wiplash,?,youtube
aespa_Whiplash,is that song? it is hard to say 😏,song hard say,?,youtube
aespa_Whiplash,"""TOCA UMA PRA AS GAYS"" 🤌⚡️",toca uma pra gay,?,youtube
aespa_Whiplash,Im still here,im still,?,youtube
aespa_Whiplash,52 M 🩷,,?,youtube
aespa_Whiplash,Yesssss,yesssss,?,youtube
aespa_Whiplash,52M,,?,youtube
aespa_Whiplash,53M Lego!,lego,?,youtube
aespa_Whiplash,Happy 52M!!! (11.10 am kst),happi kst,?,youtube
aespa_Whiplash,happy 52m,happi,?,youtube
aespa_Whiplash,52M gogo,gogo,?,youtube
aespa_Whiplash,1:24 if this chorus use JYP style accent will be very interesting 😂,choru use jyp style accent interest,?,youtube
aespa_Whiplash,Lmao I thought this was 21,lmao thought,?,youtube
aespa_Whiplash,When I first listen to this song I think that I will not like this song but now I'm addicted to this song aespa song always has this effect to me ㅠㅠㅠㅠ,first listen song think like song im addict song aespa song alway effect,?,youtube
aespa_Whiplash,winterr!!,winterr,?,youtube
aespa_Whiplash,"me when taking the test : Whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash ,one look give 'em Whiplash .",take test whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash one look give em whiplash,?,youtube
aespa_Whiplash,Karina marry me🩵🩵,karina marri,?,youtube
aespa_Whiplash,Day 1 no been bad,day bad,?,youtube
aespa_Whiplash,60 million vi3ws please,million viw pleas,?,youtube
aespa_Whiplash,I'm still here,im still,?,youtube
aespa_Whiplash,💜💜💜💜,,?,youtube
aespa_Whiplash,My girls never disappoint,girl never disappoint,?,youtube
aespa_Whiplash,Happy 51.9M (10.10 am kst),happi kst,?,youtube
aespa_Whiplash,Bro aespa mvs are always fire ❤,bro aespa mv alway fire,?,youtube
aespa_Whiplash,We really can get 70M in a month.,realli get month,?,youtube
aespa_Whiplash,cool 🔥🔥🔥🔥,cool,?,youtube
aespa_Whiplash,52M soon.,soon,?,youtube
aespa_Whiplash,The mighty aespa,mighti aespa,?,youtube
aespa_Whiplash,I'm here for aespa,im aespa,?,youtube
aespa_Whiplash,I thought Black Mamba was wicked...But Whiplash is Wickederrr,thought black mamba wickedbut whiplash wickederrr,?,youtube
aespa_Whiplash,Tell Jennie to thank Beyoncé,tell jenni thank beyonc,?,youtube
