@relation youtube_full

@attribute text STRING
@attribute @@class@@ {negative,neutral,positive}

@data
"listen whiplash next level time im get addict go aespa",neutral
"mv top tier",neutral
"aespa releas hit hit im complain",neutral
"part",neutral
"sound fvcking freshhh old school disco type beat fashion mv product everyth new awesom complet new concept",neutral
"whiplash",neutral
"listen everyday addict",neutral
"one look give em whiplsh",neutral
"actual song grow",neutral
"slay comeback karina biagfydc",neutral
"winter prettyyyy alway soti",neutral
"love aespa much ningn bia era uwaaaaaaaaaaaaa karina winter gisel pink hair especi cool osso isnifjniosjosjoskjsokoso pretti non aespa stan definit miss outtttttttt love u aespa",neutral
"fall ate",neutral
"brat code",neutral
"k hour",neutral
"vote aespa mnet fan choic",neutral
"look like could final fantasi",neutral
"behind scene",neutral
"lmfao sound like jingl bell rock like im highlight red light rock night awayyyi know site next sigh go glidin onehors sleighhh",neutral
"come strm",neutral
"imma make free audio",neutral
"pleas stop cut winter hair",neutral
"ningninggggg main slayeerrr profession model love youuu keep slay",neutral
"keep stream fight my",neutral
"sm youtub acc old",neutral
"th worldwid mv",neutral
"love concept like aespa balenciaga",neutral
"hate sm channel fg slow strxming could better aespa releas mv channel ik would happen",neutral
"aespa whiplash whiplash titl ki flight feel pink hoodi flower anoth girl",neutral
"dive keep stream th win",neutral
"stray kid poster",neutral
"love",neutral
"amaz wonyoung",neutral
"remind much loona im gonna cri",neutral
"song liter wonni life hater cant realis also human",neutral
"carli rae jepsen x taylor swift code",neutral
"th win cmon",neutral
"pleas go check attitud concept film well",neutral
"chanc th win",neutral
"gaeul didnt say anyth song",neutral
"stray kid poster visibl mv funni lol",neutral
"love hear song record",neutral
"els come see straykid",neutral
"leeseo wonyoung cute",neutral
"love love hate never never woni part",neutral
"swear listen song like year ago",neutral
"readi attitud",neutral
"wanna thank ive amaz perfect song new kpop song thrown deeper music stan",neutral
"hey guy good luck babebaobei babi right seattl dont settl januaryjanu love day love hurt annot",neutral
"gaeul get part pleas let shine want see promin",neutral
"releas birthday im",neutral
"energi comeback rebel heart who readi join journey let gather",neutral
"see stray kid background",neutral
"ill watch song everytim someon like comment",neutral
"love hate never gonna gonna icon line",neutral
"leeseo cri",neutral
"atitud come soon",neutral
"rebel heart pm awarmmoon",neutral
"wonyoung vocal omgg",neutral
"actual cri relat",neutral
"congrat winn ingkigayo today th win",neutral
"attitud concpet film noww",neutral
"cant wait attitud",neutral
"beauti refresh music video lyric empow well liter outdo everi singl comeback talent",neutral
"rebel heart pm wonjin",neutral
"im serious obsess song",neutral
"rebel heart",neutral
"love hate never never never tri ill break free never never never rebel heart rebel heart rebel heart rebel heart rebel heart dont care move love hate never never never tri ill break free never never never rebel heart rebel heart rebel heart rebel heart rebel heart rebel heart alway rebel come join rebel one rebel one rebel heart rebel heart rebel heart rebel heart rebel heart",neutral
"beauti get stuck head cant stop listen",neutral
"rebel heart pm awarmmoon",neutral
"prereleas titl track cool",neutral
"improv visual everyth",neutral
"good like vocal rap danc",neutral
"best song year",neutral
"rebel heart pm wonjin",neutral
"bop like agre",neutral
"rebel heart pm awarmmoon",neutral
"either way sister",neutral
"tone rhythm remind love",neutral
"get win rebel heart",neutral
"still watch mv",neutral
"th win congrat girl",neutral
"say louder wongyoung",neutral
"rebel heart pm wonjin",neutral
"rebel heart pm awarmmoon",neutral
"rebel heart pm wonjin",neutral
"th win rebel heart inkigayo congratul",neutral
"mani ive support",neutral
"great ive go ive",neutral
"word prefect amaz",neutral
"rebel heart",neutral
"best wonyoung",neutral
"woni fianli got recognit deserv",neutral
"rebel heart th consecut music show win achiev",neutral
"leeseo look cute pink hair",neutral
"rebel heart fav song ive alway releas great music",neutral
"congrat girl th win",neutral
"congratul ive rebel heart th win",neutral
"love ive meaning song good lyric made even better genr alway amaz",neutral
"good song love",neutral
"rebel heart pm awarmmoon",neutral
"song catchi",neutral
"excit attitud",neutral
"comgrat ive take week trophi guy truli deserv win",neutral
"best song mv qualiti melodi ack ate",neutral
"rebel heart",neutral
"rebelheartthwin",neutral
"th win proud ive",neutral
"win im proud guy dive",neutral
"rebel heart",neutral
"rebel heart pm wonjin",neutral
"next goal fight dive",neutral
"song mean love song know mean love hate never",neutral
"rebel heart th win",neutral
"rebel heart pm awarmmoon",neutral
"happi th win rebel heart heal us everi day",neutral
"th win today omg let stram next week",neutral
"prereleas main tract goin releas feb view rightt",neutral
"love hate never ate wonni",neutral
"th win",neutral
"yasss congratul th win today",neutral
"ive discographi never disappoint",neutral
"cant wait attitud im seat",neutral
"rebel heart deserv lot award fr",neutral
"rebel heart pm awarmmoon",neutral
"ive said ill say ive alway outdon believ ive empathi best album genuin think rebel heart one best song ive ever heard kpop icon soul never give alway rebel reach dream time rather expect etern want understand shockingli last time touch watch either way first time ive",neutral
"essenc kpop type messag reason kpop becam fundament platform teenag year",neutral
"rebel heart intro jang wonyoung rebel heart vers yujin liz rei leeseo choru jang wonyoung yujin gaeul leeseo love hate never never never tri ill break free never never never rebel heart rebel heart rebel heart rebel heart rebel heart vers rei gaeul leeseo dont care move prechoru jang wonyoung oh choru yujin liz jang wonyoung rei love hate never never never tri ill break free never never never rebel heart rebel heart rebel heart rebel heart rebel heart rebel heart postchoru yujin jang wonyoung lalalala lalala lalala rebel heart rebel heart lalalala lalala lalala rebel heart rebel heart bridg jang wonyoung liz alway rebel choru yujin leeseo liz come join rebel one rebel one rebel heart rebel heart rebel heart rebel heart rebel heart",neutral
"pl reach goal least week",neutral
"wonyoung own song love song mean lyric emot like song super short lyric make sens beat",neutral
"come guy view k like",neutral
"stream pl need stream",neutral
"still promot rebel heart next week",neutral
"im exagger say ive consist group amaz bridg vocal tune im even dive hardcor listen everi song ive listen realli doesnt disappoint ive even disappoint song produc favorit group idol never ive person think song never made sole purpos tiktok audio",neutral
"ive fight dive pleas keep send girl love support",neutral
"best kpop song mile",neutral
"congrat ive win music bank",neutral
"come everyon dive let increas number view rebel heart come",neutral
"vote music bank",neutral
"oncee vote twice app music show",neutral
"twice es increbl",neutral
"watch twice interview promot us",neutral
"twice vocalist talent awesom",neutral
"stream",neutral
"",neutral
"strategi loop day good song",neutral
"good daynight onc",neutral
"come appreci work art",neutral
"glad kept girl away megan much possibl",neutral
"year ago twice mina deliv absolut stun grace enchant cover snowman sia",neutral
"twice zach sang show",neutral
"whole song english happen kpop lol love girl twice though im lowk concern",neutral
"one favorit twice song love",neutral
"le copiaron melani martinez en high school sweetheartsss",neutral
"come stream million viewer",neutral
"let stream twice reach strategi least million",neutral
"twice greatest group time",neutral
"hey boy",neutral
"minaa she pretti",neutral
"good morn",neutral
"twice look super pretti",neutral
"slay ate",neutral
"onceee stream",neutral
"strategi stream",neutral
"love mina braid style",neutral
"go go twice never stop",neutral
"twice best gg",neutral
"stream massivo",neutral
"let tri win chart",neutral
"love twice",neutral
"love twice",neutral
"tast music everyth releas twice",neutral
"although blink song realli grab attent like vibe much",neutral
"strategi twice",neutral
"jihyo part addict",neutral
"take anoth one alreadi",neutral
"outfit white strategi pink short pink pant individu cloth dahyun heart black tie jihyo skirt alreadi wear perform pink jacket pant",neutral
"la part de sana",neutral
"megan thee stallion",neutral
"best son ever",neutral
"love twice",neutral
"twice love",neutral
"think twice realli humbl long versatil longev career wholesom discographi japanes korean comeback never overlap collabor work insan vocal year face card visual queen japan kind love fan think era kpop theyr still nation gg south korea daesang belt hit hit iu gdragon even icon recogn jyp realli hit jackpot debut group truli immacul",neutral
"te amo minaaaaaa",neutral
"hey man ima get ya ima get real good bet ya hey man get ya youll oh glad met ya",neutral
"bought self digipack cant stop play strategi album mean show support time onlin btw fight onc twice fight",neutral
"stream",neutral
"stream strategi onc",neutral
"imma getcha real good betcha",neutral
"stream slo",neutral
"wow song awesom",neutral
"new",neutral
"love life live",neutral
"onc dont stop yet let give twice view",neutral
"good way end",neutral
"loveeeee song realli",neutral
"enough love good love alway twice megan devour",neutral
"song deserv success keep stream listen everyday",neutral
"ovo colher de sopa de acar colher de sopa de chocol em p colher de sopa de leo colher de sopa de leit colher de sopa de farinha de trigo colher de caf de fermento qumico em p cobertura xcara de ch xcara ml de leit colher de sopa de acar colher de sopa de chocol em p colher de sopa de margarina",neutral
"hey boy ima get ya ima get real good bet ya hey boy get ya youll oh glad met ya ow twice step one highlight make shine bright moonlight step two silhouett tight babi even shadow look good right step three arriv make look way heart eye step four got floor make say say hi im feel attent hi reason shi aint gonna bite come know wanna move littl closer yeah got plan get got radar soon your gonna strategi strategi get ya get ya babi win trademark soon youll never wanna leav strategi strategi get ya get ya babi hey boy ima get ya ima get real good bet ya hey boy get ya youll oh glad met ya cheek go red that cute wanna danc said oh cool til im head cruel cant forget your feel thing your confus watch bodi get loos dont know your gonna your mine say hi im feel attent hi reason shi aint gonna bite come know wanna move littl closer yeah got plan get got radar soon your gonna strategi strategi get ya get ya babi win trademark soon youll never wanna leav strategi strategi get ya get ya babi real hot girl shh like huh smack watch bounc right back realli lost saw right left hmm im man eater light snack baow got press like he workin tricep hmm ima flirt ima teas hurt told babi what player game sand need worri bout bringin beach jealou girl pleas left right left right beat beat talk bodi that strategi baow baow girl tri im realli hard beat im realli hard beat hell mine strategi yeah yeah left right left right beat beat talk bodi that strategi baow baow girl tri im realli hard beat yeah im realli hard beat hell mine strategi yeah yeah strategi strategi like graviti graviti one look look bet ya bet ya bet ya boy youll knee call beg dont leav strategi strategi get ya get ya get ya boy ahoh hey boy ima get ya ima get real good bet ya real good bet ya hey boy get ya youll oh glad met ya oh glad ooh hey boy ima get ya hey boy yeah ima get real good bet ya good bet ya hey boy get ya hey boy youll oh glad met ya oh glad met ya hey boy ima get ya ima get real good bet ya",neutral
"omg love song love one milln need song like one twice",neutral
"twice kind song fell love perfect",neutral
"im back masterpiec",neutral
"talent queen",neutral
"theyr stun",neutral
"beauti",neutral
"one listen",neutral
"disband lol",neutral
"goodd",neutral
"highlight",neutral
"silhouett tight",neutral
"got plan get",neutral
"make year end",neutral
"genuin obsess song",neutral
"youll knee call beg dont leav im alreadi knee",neutral
"ah song good love everyth",neutral
"song good id listen everi time went love twice",neutral
"guy stream doinnn",neutral
"visual serv",neutral
"stream stream",neutral
"stream",neutral
"twice deserv dont help",neutral
"feel eve vibe song",neutral
"welcom",neutral
"guy im love twice",neutral
"hey twice imma getcha",neutral
"alway perfect song twice babi",neutral
"best comeback love much",neutral
"aint gonna bite come lie cuz ate",neutral
"week",neutral
"stream once",neutral
"let gooo",neutral
"song sooo cvnti",neutral
"stream strategi pleas lbum spotifi",neutral
"perfect",neutral
"say hi",neutral
"loooov whole album",neutral
"peopl keep say like comeback twice never comeback caus never left theyv year still go",neutral
"twice strategi feat megan thee stallion debut week billboard global chart debut excl us chart",neutral
"keep stream onc",neutral
"strategi twice surpass copi sold circl chart",neutral
"mk keep go stream everyon",neutral
"love twice",neutral
"support girl",neutral
"strategi strategi getcha getcha babi",neutral
"yall didnt realiz cc turn thought stroke context current learn korean fluent english even though nativ languag belatedli regist english track",neutral
"strategi icon song",neutral
"yess love song",neutral
"twice strategi",neutral
"everi time someon like comment ill watch",neutral
"view like comment",neutral
"readi come twice world tour citi think theyll visit",neutral
"let broadcast even",neutral
"stream twice",neutral
"onc need win prevot music bank th dec chanc win prevot second trophi prevot start next week mayb go onc",neutral
"let go third week",neutral
"let reach let goo onceuuuu",neutral
"listen st time sinc kind didnt like one spark love twice heart realli good love fact megan crazi dont know els say actual ye visual vocal concept realli nice realli like thank twice red velvet special mention caus end best song ever",neutral
"love twice",neutral
"wish meagan partttt wouldv even better",neutral
"strategytrategi korean version got speak korea",neutral
"love song",neutral
"song enter top playlist",neutral
"masterpiec keep repeat head even tho im middl import exam",neutral
"daili view better one spark",neutral
"twice activ kpop girl group year song alway good",neutral
"stream strategi onc",neutral
"masterpiec realli live brain free",neutral
"remind pl use cap lock your comment freez view",neutral
"mina stan",neutral
"let keep stream onc let appreci girl effort deliv masterpiec us",neutral
"reach million new year let give girl gift onc",neutral
"day million stream mama award",neutral
"parti oclock choru",neutral
"stream month million atleast plzzz",neutral
"let go oncee",neutral
"pretti sad world wasnt happi cute clean group add crass megan thee stallion",neutral
"best video year",neutral
"pretti girl",neutral
"cant stop sing song mom also like cryy",neutral
"love nayeon end one spark strategi",neutral
"win trademark soon youll never wanna leavr",neutral
"congratul twice youv done well promot strategi hard work queen",neutral
"real hot girl shhhh",neutral
"stram onceu",neutral
"hey boy",neutral
"stream",neutral
"strm harder",neutral
"goood that freak awesom",neutral
"bangerr",neutral
"welcom",neutral
"hey boy ima get ya",neutral
"welcom",neutral
"keep use song everywher tiktok x fb ig yt",neutral
"comment eyyy ur still stream",neutral
"hey boy",neutral
"midzi thank support gold itzi",neutral
"still want long journey twice els",neutral
"hey boy ima getcha ima getcha real good betcha megan thee stallion hey boy getcha youll oh glad metcha twice ahoh step highlight make shine bright moonlight step silhouett tight babi even shadow look good right step arriv make look way heart eye step got floor make say say hi im feel attent hi reason shi aint gonna bite com know wanna move littl closr yeah got plan get ah got radar soon your gonna strategi strategi getcha getcha babi win trademark soon youll never wanna leav strategi strategi getcha getcha babi hey boy ima getcha ima getcha real good betcha hey boy getcha youll oh glad metcha cheek go red that cute wanna danc said oh cool til im head cruel cant forget your feel thing your confus watch bodi get loos dont know your gonna your mine say hi im feel attent hi reason shi aint gonna bite come know wanna move littl closer yeah got plan get ah got radar soon your gonna strategi strategi getcha getcha babi win trademark soon youll never wanna leav strategi strategi getcha getcha babi real hot girl sheeee like smack youwatchitbounceit right back realli lost saw right left ima man eater light snack got press like he workin tricep ima flirt ima teas babi hurt tellem babi what player game sayin need word bring beach jealou girl pleas left right left right beat talkwith bodi that strategi girl tryin im reallyhard beat hell mine strategi left right left right beat talkwith bodi that strategi girl tryin im reallyhard beat hell mine strategi strategi strategi like graviti graviti one look look betcha betcha betcha boy youll yourkne call beg dont leav strategi strategi getcha getcha getcha boy ahoh hey boy ima getcha ima getcha real good betcha hey boy getcha youll oh glad metcha hey boy ima getcha ima getcha real good betcha hey boy getcha youll oh glad metcha hey boy ima getcha ima getcha real good betcha",neutral
"legend",neutral
"love girl",neutral
"interest love call",neutral
"oh good fineeeil stan",neutral
"yunho breathtak",neutral
"theyr cool",neutral
"masterpiec",neutral
"think would make sens actual ice teeth like diamond grill",neutral
"last one today soon day keep fight atini",neutral
"happi good morn",neutral
"yeayyy good morn",neutral
"happi jam",neutral
"hate like f handsom hot fine make go crazi omg",neutral
"happi thanksgiv atini celebr",neutral
"need get diamond dentist stat san slap like",neutral
"know song mingi punchlin ice neck draw line name take dollar w upsid necklac ps video mv review pirat search valu shine like diamond",neutral
"k left wonderland reach gooooo",neutral
"let move million soon fight",neutral
"hope continu path",neutral
"mv beauti well produc",neutral
"cant wait",neutral
"feel perform go crazi",neutral
"ateez go perform saturday melon music award let support",neutral
"best kpop song year",neutral
"top trend mv",neutral
"youd like know possibl interpret iomt check mv review pirat search valu shine like diamond",neutral
"there someth intruig group dont listen kpop anymor theyr make get",neutral
"choi san im love",neutral
"wow guy fantast congrat",neutral
"exol support amaz boy kinda remind exo honestli",neutral
"ateez mansion",neutral
"final",neutral
"ye happi",neutral
"keep move forward take ship right destin ateez break limit big way everi time cheer atini",neutral
"million almost",neutral
"song deserv like pleas fuck great song",neutral
"carat pass",neutral
"eye ateez",neutral
"good night iomt see morn",neutral
"one ateez best mv ever",neutral
"atini fight",neutral
"ateez mafia era",neutral
"mannnnn soti",neutral
"who background vocal goe hard asl",neutral
"million come soon",neutral
"wow love song violin sound sooo cool",neutral
"kq know best group",neutral
"ice teeth ice om ateez",neutral
"keep stream atini",neutral
"mention mv came repeat even today cant get part yunho hit differ liter love movement simul play tenni move dont know simpli love",neutral
"confirm seonghwa duck snow shaper saw insta post",neutral
"san era insan",neutral
"ateez la grand class",neutral
"sorri im fan want know",neutral
"jongho tell love cover",neutral
"xg amaz kard fusion ateez load banger bounci guerilla firework taemin solo artist nd gen group call shine",neutral
"drippp tho killaz heart",neutral
"think gonna stan ateez",neutral
"nd name",neutral
"damn never ateez guess",neutral
"let go cheer atini",neutral
"comeback time made excit felt strang time cours realli like comeback probabl like like even",neutral
"song good",neutral
"fight",neutral
"ateez still win win",neutral
"ice teeth",neutral
"give",neutral
"almost week sinc song mv came still obsess",neutral
"hongjoong yunho wink make heart flutter",neutral
"carat pass idea what go w mv storylin bc idk lore crazi good song definit gonna listen lot",neutral
"mean masterpiec alright",neutral
"smooth",neutral
"helloatini ice teeth jam",neutral
"babi atini check debut song pirat king treasur noth passion determin go check youll see growth",neutral
"mv goooodddd",neutral
"emm yunhoi bia wreck help",neutral
"violin heaven",neutral
"choic back",neutral
"wooyoung choha iomt challeng reel one highest highest number view yt wish peopl stop lazi find hello hashtag exist reason googl free leav nice comment appropri age atini pl dont dumb",neutral
"love ateez much",neutral
"live aesthet make chest tingl",neutral
"todayic path",neutral
"cub pass good even",neutral
"white tee",neutral
"best song ateez mind",neutral
"theyr alway kill",neutral
"love instrument",neutral
"im fine yall",neutral
"happi thursday start thanksgiv ateez main cours mani thank atini friend help stream iomt",neutral
"love chocol",neutral
"hace mucho frooooo",neutral
"love song",neutral
"ice teeth centr jung wooyoung",neutral
"shtt whisper smack your one im tri finish san shoulder scenedawg ateez",neutral
"power hold insan",neutral
"ice teethic tee ice teeth white tee",neutral
"start song",neutral
"k wonder thursday atini jensett mantra x ice teeth",neutral
"join stationhead streem parti atini",neutral
"found ateez finalist bbma vted jam",neutral
"mv actual fantast magnific",neutral
"back",neutral
"today visit leemujin servic san",neutral
"ateez alway stylist satisfi mv",neutral
"love",neutral
"love greec",neutral
"ok atini go crazi tell guy",neutral
"jam get ice teeth jo ici x ateez ice teeth",neutral
"let keep stream atini thank love",neutral
"visit snow cover day ice teeth like way ateez kim woojin",neutral
"current contribut view millionand there stop",neutral
"interest love call chew em keep em shut ooooooooo",neutral
"aye global top music",neutral
"answer",neutral
"note ice teeth",neutral
"whoever convinc ateez sing abt money n dime great job",neutral
"ayyy im still atini",neutral
"good morn atini friendsm come soonhav fun swim fight",neutral
"lawd merci",neutral
"let go atini",neutral
"hit booti shake violat",neutral
"yunho realli shine cb",neutral
"wish everyon great day",neutral
"morn",neutral
"work art pleasant eye ear",neutral
"kq good advertis ateez music get known ateez atini imagin kq put effort advertis thatll huugge",neutral
"take bear work day",neutral
"morn happi thursday keep work",neutral
"love keep root ateez",neutral
"im alway side ice teeth",neutral
"get cuntier everybodi comeback",neutral
"ot bridg crazi good",neutral
"insist mind pay rent live anthem",neutral
"let fun today",neutral
"yeosang beauti almost hurt",neutral
"chess refer",neutral
"one black mine",neutral
"road let goooo",neutral
"recontra like temazooo",neutral
"glam slam like teni",neutral
"im moa im give love song congratul",neutral
"keep stream atini go go milion",neutral
"ice teeth ice teeth",neutral
"view frozen keep go atini",neutral
"san defo smack like",neutral
"asian rap silli like british peopl rap take violenc emot american rap made sole sex appeal youd everi singl male kpop rapper",neutral
"deserv",neutral
"risk exam prep stream",neutral
"still love",neutral
"rise",neutral
"back",neutral
"swim carat",neutral
"good morn rhyme tenni tenni okay bc fishi fishi like",neutral
"definit put money mouth",neutral
"back show support ice teeth",neutral
"congratul let go atini ice teeth",neutral
"never enough come pirat",neutral
"first katsey ateez chandeli yall",neutral
"day think becom atini",neutral
"morn atini still vote ice teeth st win success support gorgeou pirat king ateez till end gajja",neutral
"im happi sing lower regist love deep voic that prefer boy group",neutral
"even beat pleas im love song liter",neutral
"speechless dammmmmmmnnnnnnnnnn first ateez mv forc comment even look youtub like serious damn pleas keep love mv song everi thing",neutral
"who watch",neutral
"wonderland work close next million",neutral
"final compani place advertis done return",neutral
"kinda wish anoth music video made one bside album man fire exampl imagin choreographi track",neutral
"last time around todayse tomorrowlet keep good workgood night",neutral
"hater back",neutral
"godfac hair song aghas show",neutral
"yooo ateez billboard artist cri byee",neutral
"heart stop",neutral
"joke song releas birthday",neutral
"your one im tryna finish aliv total",neutral
"mv beauti",neutral
"end amaz",neutral
"cool",neutral
"im total obsess mv song flow rythm stun visual synchro danc everyth cool dont give damn lyric caus im french didnt understood anyth",neutral
"make rain",neutral
"whole mv knee song repeat sinc came good lord",neutral
"let move million soon fight",neutral
"omgi realli love song",neutral
"hope win unit come atini possibl everi grain sand count",neutral
"complet videographi love song beat danc style video aesthet everyth point",neutral
"fight",neutral
"win",neutral
"vote mubeat music core",neutral
"mingi say chocol think song work dress like willi wonka",neutral
"crazi finish video go anoth ateez video univers said im finish listen song gotta god say listen song anoth time",neutral
"keep yunho open ateez song alway amaz",neutral
"ear worm love",neutral
"good night see ya morn",neutral
"fantasi enter atini airspac",neutral
"dont word describ feel song perfect",neutral
"support pirat everyth possibl cheer atini",neutral
"atini pleas dont support ai fancal",neutral
"mingi guapo ice teeth",neutral
"cri watch masterpiec love u ateez",neutral
"enough",neutral
"bought diamond dentist",neutral
"good man",neutral
"good man",neutral
"miss opportun coulda put grill",neutral
"lot love india love u ateez",neutral
"pleas atini vote mubeat",neutral
"plz tell your one im tryna finish mean im sorryi dont get",neutral
"ateez",neutral
"great mv",neutral
"let give least one win comeback",neutral
"atini pleas help us vote mubeat music core need",neutral
"love mv much",neutral
"catchi song",neutral
"best fk mv ever love",neutral
"theyr crazi good",neutral
"korean final enter trill era paulwal",neutral
"k fight",neutral
"wow expect ateez seonghwa part realli choke fr",neutral
"terngiang ngiang ice teeth",neutral
"video hour long",neutral
"still get album pleas buy person free fall bb chart",neutral
"hi boss dito n nmn em",neutral
"love like love iam obsess",neutral
"cannot watch song russia",neutral
"ateez best",neutral
"pleas atini vote ateez atini top kpop fan armi poll bbma pleas pleas vote",neutral
"bro look like mafia",neutral
"good nightatini thank support jam",neutral
"im atini vibe got good vibe yeah",neutral
"dentist assist part bought diamond dentist agre caus get thous realli realli expens",neutral
"like ballet",neutral
"watch reaction korean girl english sub realli like reaction mention didnt know ateez debut year ago never heard bounci thought visit channel ask react kill voic mayb korean peopl would get know thought case want see reaction channel mumuto",neutral
"omg love",neutral
"wow ice teeth one best solo amaz kpop ateej love",neutral
"yessss leader back",neutral
"nice song love",neutral
"hip hop lover rhyme tenni tenni lazi good song choru rhyme scheme need match great visual alway though",neutral
"good morn yay million",neutral
"ateez what",neutral
"k happi million beauti wednesday atini jensett mantra x ice teeth",neutral
"peopl keep search lucinta luna comment someon pirat work make edit mv lure everyon ps indonesian atini respect",neutral
"great day atini choic",neutral
"sannnn weeksss im still attacehdjdkndksj",neutral
"what cutest thing saw today video iomt mansion made anim cross",neutral
"fantasi come check diamond still place great day atini friend ice teeth x dwbh ateez x sf",neutral
"ice teeth",neutral
"ohhhh hot",neutral
"im obsess",neutral
"kpop peaki blinder ahh vibe",neutral
"need anoth like button would like press million time",neutral
