group_comeback,comment,cleaned_comment,sentiment
aespa_Whiplash,Midzy here to support!!! Let's get 53M!!! Whiplash x gold!!,midzy here to support lets get m whiplash x gold,positive
aespa_Whiplash,This is Haneuls era fr💅✨️,this is haneuls era fr,neutral
aespa_Whiplash,the concept of this fits aespa so well. the beat is so cool!! giselles pink hair is so pretty! i love this song sm 🖤🩶🤍,the concept of this fits aespa so well the beat is so cool giselles pink hair is so pretty i love this song sm,positive
aespa_Whiplash,"this might be aespa’s best music video, yet; the visuals and outfits are everythinggg😍",this might be aespas best music video yet the visuals and outfits are everythinggg,positive
aespa_Whiplash,ONE LOOK GIVE A WHIPLASH,one look give a whiplash,neutral
aespa_Whiplash,can someone tell me who is who in the different hair parts? I know pink hair is Giselle and that short black hair is Winter but other than that idk who is who with their hair changing in this mv 😭😭,can someone tell me who is who in the different hair parts i know pink hair is giselle and that short black hair is winter but other than that idk who is who with their hair changing in this mv,neutral
aespa_Whiplash,The NSX tho...,the nsx tho,neutral
aespa_Whiplash,"The LIMITED EDITION SHIRT is SERVING! But, I think the quality of the photobook could be improved. I got mine with a scratch-like small air bubble on the cover and some visible light scratches as well which somewhat affect the overall appearance of the photobook. The first page looks like it’s about to fall off and has a lot of blot-like marks on the stapler area of the pages.",the limited edition shirt is serving but i think the quality of the photobook could be improved i got mine with a scratchlike small air bubble on the cover and some visible light scratches as well which somewhat affect the overall appearance of the photobook the first page looks like its about to fall off and has a lot of blotlike marks on the stapler area of the pages,negative
aespa_Whiplash,EVERYONE LET'S STRMING AT SPOTIFY HARDER AND YOUTUBE HARDER PLEASE...🙏 💪,everyone lets strming at spotify harder and youtube harder please,neutral
aespa_Whiplash,"DEEM STREAM CORRETAMENTE NO MV MYS, E DE STREAM NA MÚSICA NO SPOTIFY",deem stream corretamente no mv mys e de stream na msica no spotify,neutral
aespa_Whiplash,IM IN LOVE WITH THIS VIDEOOOO,im in love with this videoooo,positive
aespa_Whiplash,Every time someone likes my comment ill wathc it again,every time someone likes my comment ill wathc it again,neutral
aespa_Whiplash,Ningning's part was addictive,ningnings part was addictive,positive
aespa_Whiplash,This masterpiece deserves much attention,this masterpiece deserves much attention,positive
aespa_Whiplash,whip whip whiplash,whip whip whiplash,neutral
aespa_Whiplash,Giselle for the leader of the free world!,giselle for the leader of the free world,neutral
aespa_Whiplash,Whip whiplash,whip whiplash,neutral
aespa_Whiplash,Coldest,coldest,neutral
aespa_Whiplash,we need performance video SM!,we need performance video sm,neutral
aespa_Whiplash,"-#1 에스파 선배님
#3 Whiplash audio
#12 아우디즈
#18 W
#23 MusicBank
#27 ㄴ
#44 언니",whiplash audio w musicbank,neutral
aespa_Whiplash,classy,classy,neutral
aespa_Whiplash,one look givem whiplash,one look givem whiplash,neutral
aespa_Whiplash,Can't touch that,cant touch that,neutral
aespa_Whiplash,"#1 에스파 선배님
#3 Whiplash audio
#12 아우디즈
#18 W
#23 MusicBank
#27 네
#44 언니들",whiplash audio w musicbank,neutral
aespa_Whiplash,*gets sued by Metallica*,gets sued by metallica,neutral
aespa_Whiplash,I can't get tired of this song,i cant get tired of this song,positive
aespa_Whiplash,thank you women for existing i love you,thank you women for existing i love you,positive
aespa_Whiplash,"I love this era, but the song and the dance are giving me PSY vibes😂 and i can’t unsee it!!! i hope they’re doing doing the challenge with PSY!!!!  It will be dope for sure!!",i love this era but the song and the dance are giving me psy vibes and i cant unsee it i hope theyre doing doing the challenge with psy it will be dope for sure,positive
aespa_Whiplash,Lets go to 60M,lets go to m,neutral
aespa_Whiplash,Whi-whiplash,whiwhiplash,neutral
aespa_Whiplash,This comeback is giselle era❤,this comeback is giselle era,positive
aespa_Whiplash,I love the vibe it's giving off smuch they ate that 🫶😭,i love the vibe its giving off smuch they ate that,positive
aespa_Whiplash,Goodmoning everyone 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,goodmoning everyone,
aespa_Whiplash,favorit the song,favorit the song,
aespa_Whiplash,"me with aespa this year: *releasing supernova* 
Me: song of the year!!!!!

*releasing armageddon*
Me: no, wait this should be the song of the year!

*releasing hot mess*
Me: *sigh* what’s next!??

*releasing whiplash*
Me: HEAR ME OUT THIS IS THE SONG OF THE YEAR",me with aespa this year releasing supernova me song of the year releasing armageddon me no wait this should be the song of the year releasing hot mess me sigh whats next releasing whiplash me hear me out this is the song of the year,
aespa_Whiplash,wow，they are so beautiful and cool！,wowthey are so beautiful and cool,
aespa_Whiplash,Winter is a human AI no doubt,winter is a human ai no doubt,
aespa_Whiplash,ONE LOOK GIVE EM WHIPLASH,one look give em whiplash,
aespa_Whiplash,Perfect song yeah yeah yeah,perfect song yeah yeah yeah,
aespa_Whiplash,"Next Level 305M
Drama 250M
Armageddon 105M
Whiplash 55M
gogogo🎉🎉",next level m drama m armageddon m whiplash m gogogo,
aespa_Whiplash,This is awesome.  Best AESPA.,this is awesome best aespa,
aespa_Whiplash,perfect song mv vocal and visual.all perfect,perfect song mv vocal and visualall perfect,
aespa_Whiplash,This is definitely giselle’s era she slayed with her pink hair,this is definitely giselles era she slayed with her pink hair,
aespa_Whiplash,"#æspa in History Longest Charts:
#1 MelOn Supernova         99 days
#1 Genie                                   119
#1 Bugs                                     49
#1 VIBE                                     118
#1 Circle                                   11 weeks
#1 YouTube Next Level     12 weeks.",in history longest charts melon supernova days genie bugs vibe circle weeks youtube next level weeks,
aespa_Whiplash,53M today mys come on,m today mys come on,
aespa_Whiplash,"What is your Aespa bias?
Me: Ningning",what is your aespa bias me ningning,
aespa_Whiplash,".mySTREAM aespa AUDIO:
Black Mamba 150M Next Level 225 Savage135
Dreams Come True 75 Girls 85 Illusion 150
Hold On Tight 55 Spicy 145 Drama 135
Supernova 95 Armageddon 55 Whiplash 25",mystream aespa audio black mamba m next level savage dreams come true girls illusion hold on tight spicy drama supernova armageddon whiplash,
aespa_Whiplash,1:23 giselle's revenge after what ningning did to her apartment.,giselles revenge after what ningning did to her apartment,
aespa_Whiplash,2:14 Girls' Generation 소녀시대 'Catch Me If You Can'🥲🥲,girls generation catch me if you can,
aespa_Whiplash,"aespa 'Whiplash'

01. Whiplash (Title)
02. KI
03. Flights, Not Feelings
04. Pink Hoodie
05. Flowers
06. Just Another Girl.",aespa whiplash whiplash title ki flights not feelings pink hoodie flowers just another girl,
aespa_Whiplash,top music video,top music video,
aespa_Whiplash,I am Blink and I love this song.,i am blink and i love this song,
aespa_Whiplash,Aespa owned this year !!!,aespa owned this year,
aespa_Whiplash,High fashion mv,high fashion mv,
aespa_Whiplash,Manifesting 3rd win 🙏🙏,manifesting rd win,
aespa_Whiplash,Mother Giselle please adopt me,mother giselle please adopt me,
aespa_Whiplash,"52.312

Sunday gone like wushhhh",sunday gone like wushhhh,
aespa_Whiplash,whip-whiplash,whipwhiplash,
aespa_Whiplash,YEGE SEMEYİ TEKLEDİ(!),yege semeyi tekledi,
aespa_Whiplash,CAPCUT YAZİSİNİ SİLMEMİSLER AQ,capcut yazisini silmemisler aq,
aespa_Whiplash,SM MAL,sm mal,
aespa_Whiplash,TİRNAGİM OLAMAZLAR(!),tirnagim olamazlar,
aespa_Whiplash,OK THAT RRRRRRROCKS,ok that rrrrrrrocks,
aespa_Whiplash,vamos por 60M! MY's let's do this!,vamos por m mys lets do this,
aespa_Whiplash,This sounds like a diss track to HYBE 😂,this sounds like a diss track to hybe,
aespa_Whiplash,IM DEOBI IM FROM WHIPLASH CHALLENGE GISELLE WITH SUNWOO <3,im deobi im from whiplash challenge giselle with sunwoo,
aespa_Whiplash,Aespa group of the year,aespa group of the year,
aespa_Whiplash,Let's go mys we need to continue!,lets go mys we need to continue,
aespa_Whiplash,"Pleaseeeee vot3 x aespa #whiplash Let's get more wins for aespa, they worked hard",pleaseeeee vot x aespa lets get more wins for aespa they worked hard,
aespa_Whiplash,Omg the beat is insane from the start to the end!!!💝,omg the beat is insane from the start to the end,
aespa_Whiplash,2:30 on repeat‼️ Hot Giselle on top 😻👄,on repeat hot giselle on top,
aespa_Whiplash,First reaction,first reaction,
aespa_Whiplash,"Visual 100/100
vocal 100/100
Dance 100/100
singing 100/100
And rap 100/100
I LOVE THEEMMM",visual vocal dance singing and rap i love theemmm,
aespa_Whiplash,This song is on fire 🔥🔥🔥 aespa ❤️❤️❤️,this song is on fire aespa,
aespa_Whiplash,winter feels like she dropped from final fantasy universe. aftet hanging out with noctis or waht,winter feels like she dropped from final fantasy universe aftet hanging out with noctis or waht,
aespa_Whiplash,I'M THE COLDEST,im the coldest,
aespa_Whiplash,Drama almost 300M on spotify!! Let's go mys,drama almost m on spotify lets go mys,
aespa_Whiplash,"MYS !!! NEXT LEVEL = 300M, SUPERNOVA = 200M, ARMAGEDDON = 100M, WHIPLASH = 100M, BLACK MAMBA = 300M, SPICY = 200M",mys next level m supernova m armageddon m whiplash m black mamba m spicy m,
aespa_Whiplash,"Faitin mys este, vamo a hold on de mongmong",faitin mys este vamo a hold on de mongmong,
aespa_Whiplash,This is a song that would definitely play at a catwalk,this is a song that would definitely play at a catwalk,
aespa_Whiplash,One look give'em whiplash,one look giveem whiplash,
aespa_Whiplash,Happy 52M mys. Road to 53M soon,happy m mys road to m soon,
aespa_Whiplash,whip whiplash one look give'em whiplash,whip whiplash one look giveem whiplash,
aespa_Whiplash,and if this song becomes my top 1 on spotify wrapped lmaooo I'm obsessed,and if this song becomes my top on spotify wrapped lmaooo im obsessed,
aespa_Whiplash,I can't wait for Godspa to sweep all the awards this year,i cant wait for godspa to sweep all the awards this year,
aespa_Whiplash,ALL OF THEM ARE SO ICONIC HERE😩💥 BUT GISELLE REALLY CATCH MY ATTENTION 🌷✨,all of them are so iconic here but giselle really catch my attention,
aespa_Whiplash,Str3am harder on Spotify and Apple Music .Whiplash is such a banger,stram harder on spotify and apple music whiplash is such a banger,
aespa_Whiplash,aespa's Whiplash ranked 2nd Place on Spotify Global Weekly Chart with 15.3M str3ams.,aespas whiplash ranked nd place on spotify global weekly chart with m strams,
aespa_Whiplash,Godspa always give us Hit after Hit,godspa always give us hit after hit,
aespa_Whiplash,"Happy 52M MYs
let's push to 55M faster",happy m mys lets push to m faster,
aespa_Whiplash,I love the iconic fall it will go down to history,i love the iconic fall it will go down to history,
aespa_Whiplash,I'm new to aespa. Can someone tell me who is who? I just know Karina.,im new to aespa can someone tell me who is who i just know karina,
aespa_Whiplash,"""TOCA UMA PRA AS GAYS"" 🤌⚡️",toca uma pra as gays,
aespa_Whiplash,1:24 if this chorus use JYP style accent will be very interesting 😂,if this chorus use jyp style accent will be very interesting,
aespa_Whiplash,Lmao I thought this was 21,lmao i thought this was,
aespa_Whiplash,When I first listen to this song I think that I will not like this song but now I'm addicted to this song aespa song always has this effect to me ㅠㅠㅠㅠ,when i first listen to this song i think that i will not like this song but now im addicted to this song aespa song always has this effect to me,
aespa_Whiplash,winterr!!,winterr,
aespa_Whiplash,"me when taking the test : Whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash , whip-whiplash ,one look give 'em Whiplash .",me when taking the test whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash whipwhiplash one look give em whiplash,
aespa_Whiplash,60 million vi3ws please,million viws please,
aespa_Whiplash,Bro aespa mvs are always fire ❤,bro aespa mvs are always fire,
aespa_Whiplash,We really can get 70M in a month.,we really can get m in a month,
aespa_Whiplash,The mighty aespa,the mighty aespa,
aespa_Whiplash,I thought Black Mamba was wicked...But Whiplash is Wickederrr,i thought black mamba was wickedbut whiplash is wickederrr,
aespa_Whiplash,Tell Jennie to thank Beyoncé,tell jennie to thank beyonc,
aespa_Whiplash,I love Giselle new hairstyle❤❤so hot🥵,i love giselle new hairstyleso hot,
aespa_Whiplash,winter 🎉🎉🎉🎉!,winter,
aespa_Whiplash,ningning is so beautiful!!!!!🎉🎉,ningning is so beautiful,
aespa_Whiplash,my favorite music,my favorite music,
aespa_Whiplash,now THIS is a club classic,now this is a club classic,
aespa_Whiplash,YEEEESSSS THIS SONG IS SO FIRE AND THEY SERVEDDDDDD,yeeeessss this song is so fire and they servedddddd,
aespa_Whiplash,This reminds me of Charli XCX for some odd reason...,this reminds me of charli xcx for some odd reason,
aespa_Whiplash,This song is just too much aespa i am crying,this song is just too much aespa i am crying,
aespa_Whiplash,"giselle really ate, she bright in this comeback🫶🏻",giselle really ate she bright in this comeback,
aespa_Whiplash,Whiplash,whiplash,
aespa_Whiplash,Can't touch that ~,cant touch that,
aespa_Whiplash,"GIVE BELLE SOME DESERVED ATTENTION WHY KEEP HER At the back, Ditch that diamond formation!",give belle some deserved attention why keep her at the back ditch that diamond formation,
aespa_Whiplash,The vibe and ningning voice is litt,the vibe and ningning voice is litt,
aespa_Whiplash,This song is so catchy i love aespas style this looks like spicy+Armageddon+hot mess+supernova love this,this song is so catchy i love aespas style this looks like spicyarmageddonhot messsupernova love this,
aespa_Whiplash,"51.850

One look give em whiplaash",one look give em whiplaash,
aespa_Whiplash,this is the kpop i like ^^,this is the kpop i like,
aespa_Whiplash,One look give them whiplash,one look give them whiplash,
aespa_Whiplash,"https://youtu.be/hG6KGIU98-8?si=TzDf4q7c9W0lNIlr

This is a better song",this is a better song,
aespa_Whiplash,this song is so powerful ❤️,this song is so powerful,
aespa_Whiplash,whip whiplash,whip whiplash,
aespa_Whiplash,"forget brat summer , it's whiplash winter",forget brat summer its whiplash winter,
aespa_Whiplash,I listen to whiplash and next level at the same time and I'm getting addicted!! Go Aespa ❤❤❤,i listen to whiplash and next level at the same time and im getting addicted go aespa,
aespa_Whiplash,This mv is top tier,this mv is top tier,
aespa_Whiplash,Aespa release hit after hit and I'm not complaining it,aespa release hit after hit and im not complaining it,
aespa_Whiplash,1:24  this part 😍,this part,
aespa_Whiplash,this sounds so fvcking freshhh!!!!! the old school disco type beats to the fashion to the mv production everything is new and awesome .  a completely new concept !!!,this sounds so fvcking freshhh the old school disco type beats to the fashion to the mv production everything is new and awesome a completely new concept,
aespa_Whiplash,Whiplash🎉❤,whiplash,
aespa_Whiplash,listen this everyday :))) so addicted,listen this everyday so addicted,
aespa_Whiplash,One look give em whiplæsh,one look give em whiplsh,
aespa_Whiplash,Actually  this song is growing  on me!,actually this song is growing on me,
aespa_Whiplash,slay comeback (KARINA BIAGFYDC),slay comeback karina biagfydc,
aespa_Whiplash,1:36 WINTER IS SO PRETTYYYY!!!  (as always) This should be soty!,winter is so prettyyyy as always this should be soty,
aespa_Whiplash,I LOVE AESPA SO MUCH NINGNING IS MY BIAS THIS ERA UWAAAAAAAAAAAAA KARINA WINTER AND GISELLE (HER PINK HAIR ESPECIALLY) ARE SO COOL AND SO OSSOS ISNIFJNIOSJOSJOSKJSOKOSOS PRETTY NON AESPA STANS ARE DEFINITELY MISSING OUTTTTTTTTT I LOVE U AESPA,i love aespa so much ningning is my bias this era uwaaaaaaaaaaaaa karina winter and giselle her pink hair especially are so cool and so ossos isnifjniosjosjoskjsokosos pretty non aespa stans are definitely missing outtttttttt i love u aespa,
aespa_Whiplash,The fall ate,the fall ate,
aespa_Whiplash,its so brat coded,its so brat coded,
aespa_Whiplash,60 K in 1 hour,k in hour,
aespa_Whiplash,‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️ VOTE FOR AESPA ON MNET FOR FANS CHOICE ‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️,vote for aespa on mnet for fans choice,
aespa_Whiplash,They look like they could be on final fantasy,they look like they could be on final fantasy,
aespa_Whiplash,Behind the scenes https://youtu.be/X5yNrn2dL-g?si=dW2cthMSfQVHWbwY,behind the scenes,
aespa_Whiplash,"lmfao at 2:14 they sound like they about to jingle bell rock. it's like ""i'm the highlight 비춰 red light, to rock the night awayyyy. you know it's my site 거친 next sigh, to go glidin' in a one-horse sleighhh"" 😭😭😭",lmfao at they sound like they about to jingle bell rock its like im the highlight red light to rock the night awayyyy you know its my site next sigh to go glidin in a onehorse sleighhh,
aespa_Whiplash,come on str34m,come on strm,
aespa_Whiplash,Imma make a free audio with this-,imma make a free audio with this,
aespa_Whiplash,Please stop cut Winter’s hair!!,please stop cut winters hair,
aespa_Whiplash,NINGNINGGGGG MAIN SLAYEERRR PROFESSIONAL MODEL I LOVE YOUUU KEEP SLAYING,ningninggggg main slayeerrr professional model i love youuu keep slaying,
aespa_Whiplash,keep streaming and fighting mys,keep streaming and fighting mys,
aespa_Whiplash,"SM, your youtube acc is too old",sm your youtube acc is too old,
aespa_Whiplash,now we are on the 8th of worldwide mvs 😊,now we are on the th of worldwide mvs,
aespa_Whiplash,I love this concept. It’s like aespa by Balenciaga,i love this concept its like aespa by balenciaga,
aespa_Whiplash,"I hate SM channel fgs its too slow for strxming, it could be better if aespa had released MV on their own channel but ik it would not happen",i hate sm channel fgs its too slow for strxming it could be better if aespa had released mv on their own channel but ik it would not happen,
aespa_Whiplash,"aespa 'Whiplash'

01. Whiplash (Title)
02. KI
03. Flights, Not Feelings
04. Pink Hoodie
05. Flowers
06. Just Another Girl",aespa whiplash whiplash title ki flights not feelings pink hoodie flowers just another girl,
IVE_RebelHeart,"DIVEs, keep streaming for our 5th win! 🎉",dives keep streaming for our th win,neutral
IVE_RebelHeart,2:34 is that stray kids on the poster??,is that stray kids on the poster,neutral
IVE_RebelHeart,love this,love this,positive
IVE_RebelHeart,0:35 0:51 1:23 this is the so amazing 😭 of Wonyoung,this is the so amazing of wonyoung,positive
IVE_RebelHeart,"this reminds me so much of loona, i'm gonna cry 😭",this reminds me so much of loona im gonna cry,positive
IVE_RebelHeart,2:40 this song is literally our wonny life and haters cant realise she is also human,this song is literally our wonny life and haters cant realise she is also human,positive
IVE_RebelHeart,This is so Carly Rae Jepsen x Taylor Swift coded,this is so carly rae jepsen x taylor swift coded,positive
IVE_RebelHeart,5th win cmon❤❤❤,th win cmon,positive
IVE_RebelHeart,Please go check out Attitude Concept Film as well,please go check out attitude concept film as well,neutral
IVE_RebelHeart,Do we have a chance for a 5th win??,do we have a chance for a th win,neutral
IVE_RebelHeart,Gaeul didn't say anything in the song...,gaeul didnt say anything in the song,negative
IVE_RebelHeart,Stray Kids poster is visible in the MV.. this is so funny lol,stray kids poster is visible in the mv this is so funny lol,neutral
IVE_RebelHeart,I love to hear song recording,i love to hear song recording,neutral
IVE_RebelHeart,Who else come to see straykids?😂,who else come to see straykids,neutral
IVE_RebelHeart,Leeseo and Wonyoung is too cute 🥰🥰,leeseo and wonyoung is too cute,positive
IVE_RebelHeart,i love so you can love me hate me you will never be never be me wony part❤🎉😊,i love so you can love me hate me you will never be never be me wony part,positive
IVE_RebelHeart,I swear I have listened this song before but like years ago,i swear i have listened this song before but like years ago,neutral
IVE_RebelHeart,Ready for Attitude❤,ready for attitude,neutral
IVE_RebelHeart,I just wanna thank IVE for this amazing and perfect song!! New to K-pop and this song has just thrown me deeper into the music 🌟💕❤️💕❤️ will be stanning ❤,i just wanna thank ive for this amazing and perfect song new to kpop and this song has just thrown me deeper into the music will be stanning,positive
IVE_RebelHeart,"Hey guys, Good Luck Babe!~baobei宝贝~
Baby, I am right here~
In SEATTLE .
""Don't settle ""永不妥协。
26 JANUARY(JANUS)
2025 .
So, just Love you a day ❤😂
""Love me , hurt me"" 😂
因为伤得越重，爱得越深~这是宇宙中~地球上的定律~❤😂
**Annotation:
请你们铭记:
你越害怕的事情，你就提前, 主动, 一定去做,
""越害怕, 越要做 !
这样做会刻服你的心理
""障碍""~阴影~恐惧。
之后，你会成为
巨人... ...!!!

❤×❤=❤   ❤+❤=❤❤
3!=❤×❤❤×❤❤❤
   =❤❤❤❤❤❤",hey guys good luck babebaobei baby i am right here in seattle dont settle januaryjanus so just love you a day love me hurt me annotation,neutral
IVE_RebelHeart,"Why does Gaeul get so few parts? 
Please let it shine too 
We want to see it more prominently.",why does gaeul get so few parts please let it shine too we want to see it more prominently,positive
IVE_RebelHeart,Not them release my birthday 😭👍🏽 (I'm 13 now ^^),not them release my birthday im now,neutral
IVE_RebelHeart,"🤩🤩After I AM there energy comeback with Rebel In There Heart ❣️😈
Who's ready to join this journey ❤ Let's gather here❤❤😏😎",after i am there energy comeback with rebel in there heart whos ready to join this journey lets gather here,neutral
IVE_RebelHeart,1:07 i see stray kids on the background,i see stray kids on the background,neutral
IVE_RebelHeart,I'll watch this song everytime when someone likes this comment,ill watch this song everytime when someone likes this comment,positive
IVE_RebelHeart,"LOVE ME, HATE ME. YOU WILL NEVER GONNA, GONNA BE ME. What an iconic line",love me hate me you will never gonna gonna be me what an iconic line,positive
IVE_RebelHeart,Why is leeseo crying?,why is leeseo crying,neutral
IVE_RebelHeart,Atitude coming soon,atitude coming soon,
IVE_RebelHeart,REBEL HEART / 250126 / 11PM / awarmmoon,rebel heart pm awarmmoon,neutral
IVE_RebelHeart,wonyoung vocals omgg,wonyoung vocals omgg,positive
IVE_RebelHeart,I actually cried :') its so relatable,i actually cried its so relatable,positive
IVE_RebelHeart,🎉 congrats for winnning ingkigayo today 4th win ...❤,congrats for winnning ingkigayo today th win,positive
IVE_RebelHeart,attitude concpet film out noww,attitude concpet film out noww,neutral
IVE_RebelHeart,Can't wait for Attitude,cant wait for attitude,positive
IVE_RebelHeart,"such a beautiful and refreshing music video! the lyrics are so empowering as well. They literally outdo themselves every single comeback, how talented❤",such a beautiful and refreshing music video the lyrics are so empowering as well they literally outdo themselves every single comeback how talented,positive
IVE_RebelHeart,REBEL HEART / 250126 / 8PM / WONJIN,rebel heart pm wonjin,neutral
IVE_RebelHeart,Im seriously obsessed with this song.,im seriously obsessed with this song,positive
IVE_RebelHeart,REBEL HEART 10시,rebel heart,neutral
IVE_RebelHeart,"신곡 미쳤다 내 인생곡....❤ 진짜,..뮤비도 좋고 곡도 겁나 좋아 2:22 워뇨 저음 미쳤다고!!!!!❤️‍🔥❤️‍🔥❤️‍🔥 진짜 아이브 너무 좋아!!..듣다보니 눈물이 나오네....진짜 웅장하다... 걍 무한재생 시켜버려..❤ 근데 이 노래 뭔가 위로돼내...그래서 더 눈물이 나오나...? 아무튼 아이브 사랑해애~♡..

가사:
시작은 항상 다 이룬 것처럼
엔딩은 마치 승리한 것처럼
겁내지 않고 마음을 쏟을래
내 모양대로

이제 더 이상 신경 쓰지 않아
어디에서도 내 맘을 지키기
오해 받을 땐 자유에 맡겨둘래
다 알게 될 거니까

So you can

Love me, hate me
You will never be never be never be me
Try me, I'll break free
You will never be never be never be me

We are rebels in our heart,
Rebels in our heart
We are rebels in our heart
We are rebels in our heart,
꺾이지 않아
We are rebels in our heart

너는 어디가 조금 부족해
너는 거기가 뭔가 좀 넘쳐
I don't care 뭐든 말은 참 쉽지
그래 실행이 어려운 거야

Do it, move it, do it
우린 그냥 할게
내 갈 길은 멀고
그 위에는 드라마가 있어

또 외로움이 너무 길어지는 밤엔
그 맘을 쏘아 올려

Love me, hate me
You will never be never be never be me
Try me, I'll break free
You will never be never be never be me

We are rebels in our heart,
Rebels in our heart
We are rebels in our heart
We are rebels in our heart,
꺾이지 않아
We are rebels in our heart

Rebels in our heart!

우린 따로 이유를 묻지 않고
서로가 필요할 때가 있어
그런 맘이 어떤 건지 잘 알기에
영원을 바라는 사이보단
지금을 이해해주고 싶어
We will always be the rebels

Come, join as who you are
We are rebels, we are one
이 마음만으로
We are rebels, we are one

We are rebels in our heart,
Rebels in our heart
We are rebels in our heart
We are rebels in our heart,
꺾이지 않아
We are rebels in our heart

헐 잠만 뮤직비디오 4위?! 1위 가즈아!",so you can love me hate me you will never be never be never be me try me ill break free you will never be never be never be me we are rebels in our heart rebels in our heart we are rebels in our heart we are rebels in our heart we are rebels in our heart i dont care do it move it do it love me hate me you will never be never be never be me try me ill break free you will never be never be never be me we are rebels in our heart rebels in our heart we are rebels in our heart we are rebels in our heart we are rebels in our heart rebels in our heart we will always be the rebels come join as who you are we are rebels we are one we are rebels we are one we are rebels in our heart rebels in our heart we are rebels in our heart we are rebels in our heart we are rebels in our heart,neutral
IVE_RebelHeart,it's so beautiful that it gets stuck in your head and you can't stop listening to it,its so beautiful that it gets stuck in your head and you cant stop listening to it,positive
IVE_RebelHeart,REBEL HEART / 250126 / 10pm / awarmmoon,rebel heart pm awarmmoon,neutral
IVE_RebelHeart,This is just a pre-release! WHAT ABOUT THE TITLE TRACK?! HOW COOL IS IT?,this is just a prerelease what about the title track how cool is it,positive
IVE_RebelHeart,"Improve
Visual
Everything",improve visual everything,positive
IVE_RebelHeart,"this is very good! i like their vocal, rap, and dance",this is very good i like their vocal rap and dance,positive
IVE_RebelHeart,BEST SONG OF THE YEAR,best song of the year,positive
IVE_RebelHeart,REBEL HEART / 250126 / 7PM / WONJIN,rebel heart pm wonjin,neutral
IVE_RebelHeart,This is a bop. Like if you agree,this is a bop like if you agree,positive
IVE_RebelHeart,REBEL HEART / 250126 / 9pm / awarmmoon,rebel heart pm awarmmoon,neutral
IVE_RebelHeart,"if either way has a sister, this will be it",if either way has a sister this will be it,positive
IVE_RebelHeart,"tones and rhythms remind me of ""I AM."" I love it ❤",tones and rhythms remind me of i am i love it,positive
IVE_RebelHeart,Can we get 10 win for rebel heart?,can we get win for rebel heart,neutral
IVE_RebelHeart,who is still watching the mv,who is still watching the mv,
IVE_RebelHeart,4 th win! congrats my girls,th win congrats my girls,
IVE_RebelHeart,SAY IT LOUDER WONGYOUNG🗣️ 🔊,say it louder wongyoung,
IVE_RebelHeart,REBEL HEART / 250126 / 6PM / WONJIN,rebel heart pm wonjin,
IVE_RebelHeart,REBEL HEART / 250126 / 8pm / awarmmoon,rebel heart pm awarmmoon,
